id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__3c840c,3c840c,get-eths.com,,Scamming,Trust-Trading,0xcc2c4c1b9bEe3E9AE45b5c9024c3d032387830b8
Csdb__ScamDomains__afcbe7,afcbe7,get-ethereum.site,,Scamming,Trust-Trading,0xa2aEc7E1e3c63FA266cA443D37DC88Fd35A92d4A
Csdb__ScamDomains__3ac147,3ac147,cryptos-promos.com,,Scamming,Trust-Trading,0x83940770976605ddA722A620DD9d91825C8D65Dc
Csdb__ScamDomains__4bc4b3,4bc4b3,safethpay.com,,Scamming,Trust-Trading,0xcA8E988ffb5A662f8201c90b6a45CC7826f5F15a
Csdb__ScamDomains__7e288c,7e288c,paygiveaway.com,,Scamming,Trust-Trading,0xcA8E988ffb5A662f8201c90b6a45CC7826f5F15a
Csdb__ScamDomains__d38026,d38026,cardanoethereum.com,,Scamming,Trust-Trading,0x27075c2f55bD05c8F7009E8b5a1d3cF131806dD5
Csdb__ScamDomains__1c49c9,1c49c9,ethergiveaway.website,,Scamming,Trust-Trading,0x2511A5cF945e1cDA14E3210d2a56eA0dE1d3E031
Csdb__ScamDomains__10a1a2,10a1a2,output.jsbin.com,,Scamming,Trust-Trading,0x3389a9CacB4A3FdbE43DB14D132b3F1e215A835d
Csdb__ScamDomains__ffdbb1,ffdbb1,get-ethereum.info,,Scamming,Trust-Trading,0x1056d8d9EbB0E0d8710A0E2A1852d4A09d56464A
Csdb__ScamDomains__355ea6,355ea6,get-event-ethereum.info,,Scamming,Trust-Trading,0x1056d8d9EbB0E0d8710A0E2A1852d4A09d56464A
Csdb__ScamDomains__4ee33b,4ee33b,give-eth.news,,Scamming,Trust-Trading,0x1056d8d9EbB0E0d8710A0E2A1852d4A09d56464A
Csdb__ScamDomains__57a239,57a239,eth-box.xf.cz,,Scamming,Trust-Trading,0xEcF37AF81B814D418b5cDF2ec985508888D7c67A
Csdb__ScamDomains__2f6827,2f6827,pay.ethconfirm.com,,Scamming,Trust-Trading,0x9BaaC782EA141718437a825704Fc61802993C03a
Csdb__ScamDomains__24c744,24c744,ethconfirm.com,,Scamming,Trust-Trading,0xb48c99C37b7cf4AC0A1c2dcA518782C1FEB4f066
Csdb__ScamDomains__cf1666,cf1666,eth-share.com,,Scamming,Trust-Trading,0x024C344DA7208e60356378a252dAb771c34Be111
Csdb__ScamDomains__bb85b7,bb85b7,eth-gift.com.paperplane.io,,Scamming,Trust-Trading,0x1CE4312fDd45c9184A5561314122B2244Bd862c9
Csdb__ScamDomains__6e6976,6e6976,promo-eths.com,,Scamming,Trust-Trading,0x24F7ea54D9CDb021C0788Caab3c1796Aa8b2C161
Csdb__ScamDomains__8c9e86,8c9e86,nathanielpopper.promo-eths.com,,Scamming,Trust-Trading,0x24F7ea54D9CDb021C0788Caab3c1796Aa8b2C161
Csdb__ScamDomains__17dde6,17dde6,claimeth.epizy.com,,Scamming,Trust-Trading,0x40949225c4a1745a9946F6AAf763241c082cb9ac
Csdb__ScamDomains__40463b,40463b,eth-promo.net,,Scamming,Trust-Trading,0x18BfF0b35d63B6e19775d3FBbB5a9fa9D7288A74
Csdb__ScamDomains__2a8616,2a8616,daostack.onuniverse.com,,Phishing,,0x70ba69fCb5720BA8D573b78f641eEcB775C0E5a9
Csdb__ScamDomains__f5ca8c,f5ca8c,5000eth-promo.com,,Scamming,Trust-Trading,0xa61344257ed7c98b4690572e63797d75b0753f96
