id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__163048,163048,givetesla.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__6e75c8,6e75c8,teslax.live,,Scamming,Trust-Trading,
Csdb__ScamDomains__c5ba18,c5ba18,teslapayout.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__f8c952,f8c952,profittesla.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__3c53bb,3c53bb,zrxairdrop.com,,Scamming,Zrx,
Csdb__ScamDomains__eac249,eac249,quickbtcminer.com,,Malware,Miner,
Csdb__ScamDomains__cd694e,cd694e,teslax.in,,Scamming,Trust-Trading,
Csdb__ScamDomains__f378ef,f378ef,jaxxx.io,,Phishing,Jaxx,
Csdb__ScamDomains__066bbc,066bbc,zilllet.io,,Phishing,Zillet,
Csdb__ScamDomains__7ed3f9,7ed3f9,moonllet.io,,Phishing,Moonlet,
Csdb__ScamDomains__04cd2b,04cd2b,teslagain.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__0efa08,0efa08,uniswap.services,,Phishing,Uniswap,
Csdb__ScamDomains__a4bd14,a4bd14,portal.node-binance.dev,,Phishing,Binance,
Csdb__ScamDomains__a336ab,a336ab,portal.synthetix.dev,,Phishing,Synthetix,
Csdb__ScamDomains__89ecab,89ecab,portal.hex-node.network,,Phishing,Hex,
Csdb__ScamDomains__090389,090389,portal.uniswap.dev,,Phishing,Uniswap,
Csdb__ScamDomains__10d967,10d967,portal.curvefinance.network,,Phishing,Curve,
Csdb__ScamDomains__3e3677,3e3677,portal.fulcrum.network,,Phishing,Fulcrum,
Csdb__ScamDomains__a563ae,a563ae,myfusionwallet.net,,Phishing,Fusion,
Csdb__ScamDomains__9d027c,9d027c,ps-btc.info,,Scamming,Trust-Trading,
Csdb__ScamDomains__3e7abe,3e7abe,coinanytime.com,,Scamming,Exchange,
Csdb__ScamDomains__8788b7,8788b7,ia801505.us.archive.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__355df4,355df4,muskfreebtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__07b8a0,07b8a0,ethereum-tumbler.com,,Scamming,Mixer,
Csdb__ScamDomains__243396,243396,muskreward.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__b252f5,b252f5,elongives.fun,,Scamming,Trust-Trading,
Csdb__ScamDomains__90e37a,90e37a,gaintesla.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__381278,381278,trustwallet.claim-giveaway-airdrop.site,,Phishing,Trust,
Csdb__ScamDomains__b0a5be,b0a5be,litecoin-tumbler.com,,Scamming,Mixer,
Csdb__ScamDomains__5378d8,5378d8,hubcoi.com,,Scamming,Exchange,
Csdb__ScamDomains__437595,437595,hurtrade.com,,Scamming,Exchange,
Csdb__ScamDomains__448cf9,448cf9,fixxcoin.com,,Scamming,Exchange,
Csdb__ScamDomains__5dd117,5dd117,muskevent.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__0ae252,0ae252,zilliqawallet.online,,Phishing,Zilliqa,
Csdb__ScamDomains__85a6a8,85a6a8,wallet.trxlive.network,,Phishing,Tron,
Csdb__ScamDomains__097f16,097f16,exodusupdate.com,,Malware,Exodus,
Csdb__ScamDomains__aeabf3,aeabf3,alanbtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__a474f3,a474f3,josephbtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__5a4450,5a4450,fordbtc.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__42e5eb,42e5eb,bransonbtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__b5bffd,b5bffd,bloombergbtc.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__9c9802,9c9802,elonmuskdrop.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__ea69ad,ea69ad,muskbtc.us,,Scamming,Trust-Trading,
Csdb__ScamDomains__28e178,28e178,sonyxbtc.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__fd35a0,fd35a0,wozniakdrop.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__d00742,d00742,spacexbtcx.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__258c0e,258c0e,durovairdrop.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__86a4cc,86a4cc,cookbtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__07c32d,07c32d,etherairdrop.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__6fd962,6fd962,panteradrop.com,,Scamming,Trust-Trading,
